# Autodesk Revit 2027 default command labels
# Source (English): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts.xlsx
# Source (Korean): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts_kor.xlsx
# CommandId	English	Korean
Control_Revit_ExplodedViewMode	Toggle Highlight Displacement Sets	변위 세트 하이라이트 전환
ID_RBS_ANALYTICAL_AREA_BASED_LOAD_BOUNDARY	Area Based Load Boundary	영역 부하 경계
ID_RBS_AREA_BASED_LOAD_ADD_AREA	Add Load Area; Back to Existing	영역 부하 추가; 기존 위치로 돌아가기
ID_RBS_AREA_BASED_LOAD_REMOVE_AREA	Remove Load Area; Move to New	영역 부하 제거; 새 위치로 이동
ID_RBS_BTNADDVERTICAL	Create Vertical	수직 요소 생성
ID_RBS_BTNAUTOCONNECT	Automatically Connect	자동 연결
ID_RBS_BTNINHERITELEVATION	Inherit Elevation	고도 상속
ID_RBS_BTNINHERITSIZE	Inherit Size	크기 상속
ID_RBS_BTN_CHANGE_SLOPE	Change Slope	경사 변경
ID_RBS_BTN_MAINTAIN_SLOPE	Add Vertical	수직 추가
ID_RBS_BUILDINGSPACE_TYPE_SETTINGS	MEP Settings:Building/Space Type Settings	MEP 설정:건물/공간 유형 설정
ID_RBS_CABLETRAY_FITTING	Cable Tray Fitting	케이블 트레이 부속
ID_RBS_CABLE_TRAY	Cable Tray	케이블 트레이
ID_RBS_CANCEL_AREA_BASED_LOAD_DIVIDE_MODE	Cancel Dividing	분할 취소
ID_RBS_CANCEL_AREA_BASED_LOAD_EDIT_MODE	Cancel Editing	편집 취소
ID_RBS_CANCEL_CIRCUIT_PATH_EDIT_MODE	Cancel Editing Path	경로 편집 취소
ID_RBS_CANCEL_JUSTIFY_SLOPE_EDITMODE	Cancel	취소
ID_RBS_CANCEL_SURFACE_CONNECTOR_EDIT_MODE	Cancel Connection	연결 취소
ID_RBS_CANCEL_SYSTEM_GROUP_EDIT_MODE	Cancel Editing System; Cancel Editing Circuit	시스템 편집 취소; 회로 편집 취소
ID_RBS_CANCEL_ZONE_EDIT_MODE	Cancel Editing Zone	구역 편집 취소
ID_RBS_CAP_OPEN_ENDS	Cap Open Ends	캡 개방 끝
ID_RBS_CHECK_CIRCUITS	Check Circuits	회로 검사
ID_RBS_CHECK_DUCT_SYSTEMS	Check Duct Systems	덕트 시스템 확인
ID_RBS_CHECK_PIPE_SYSTEMS	Check Pipe Systems	배관 시스템 확인
ID_RBS_CIRCUIT_GROUP_EDIT_ADD_TO_GROUP	Add to Circuit	회로에 추가
ID_RBS_CIRCUIT_GROUP_EDIT_EDIT_PATH	Modify	수정
ID_RBS_CIRCUIT_GROUP_EDIT_PANEL_SELECT	Select Panel	패널 선택
ID_RBS_CIRCUIT_GROUP_EDIT_REMOVE_FROM_GROUP	Remove from Circuit	회로에서 제거
ID_RBS_CONDUIT	Conduit	전선관
ID_RBS_CONDUIT_FITTING	Conduit Fitting	전선관 부속
ID_RBS_CONVERTTO_FABRICATIONPARTS	Design to Fabrication	제작 설계
ID_RBS_CREATE_SYSTEM_GROUP	Switch	스위치
ID_RBS_DRAG_SURFACE_CONNECTOR	Move Connector	커넥터 이동
ID_RBS_ELECTRICAL_ANALYSIS_ADD_EQUIPMENT_LOAD	Equipment Load	장비 부하
ID_RBS_ELECTRICAL_COMMUNICATION_DEVICE	Communication	통신
ID_RBS_ELECTRICAL_DATA_DEVICE	Data	패널 >
ID_RBS_ELECTRICAL_DEMAND_FACTOR	MEP Settings:Demand Factors	MEP 설정:수용률
ID_RBS_ELECTRICAL_DEVICE	Electrical Fixture	전기 설비
ID_RBS_ELECTRICAL_EQUIPMENT	Electrical Equipment	전기 시설물
ID_RBS_ELECTRICAL_FIREALARM_DEVICE	Fire Alarm	화재 경보
ID_RBS_ELECTRICAL_LIGHTING_DEVICE	Lighting	조명
ID_RBS_ELECTRICAL_LOAD_CLASSIFICATION	MEP Settings:Load Classifications	MEP 설정:부하 분류
ID_RBS_ELECTRICAL_NURSECALL_DEVICE	Nurse Call	간호사 호출
ID_RBS_ELECTRICAL_SECURITY_DEVICE	Security	보안
ID_RBS_ELECTRICAL_SETTINGS	MEP Settings:Electrical Settings	MEP 설정:전기 설정
ID_RBS_ELECTRICAL_TELEPHONE_DEVICE	Telephone	전화
ID_RBS_ELECTRICAL_WIRE	Arc Wire	호 와이어
ID_RBS_ELECTRICAL_WIRE_CHAMFER	Chamfered Wire	모따기된 와이어
ID_RBS_ELECTRICAL_WIRE_SPLINE	Spline Wire	스플라인 와이어
ID_RBS_FABRICATION_DUCTWORK_STIFFENER	MEP Fabrication Ductwork Stiffener	MEP 덕트제작 보강재
ID_RBS_FINISH_AREA_BASED_LOAD_DIVIDE_MODE	Finish Dividing	분할 완료
ID_RBS_FINISH_AREA_BASED_LOAD_EDIT_MODE	Finish Editing	편집 완료
ID_RBS_FINISH_CIRCUIT_PATH_EDIT_MODE	Finish Editing Path	경로 편집 마침
ID_RBS_FINISH_JUSTIFY_SLOPE_EDITMODE	Finish	마감
ID_RBS_FINISH_SURFACE_CONNECTOR_EDIT_MODE	Finish Connection	연결 완료
ID_RBS_FINISH_SYSTEM_GROUP_EDIT_MODE	Finish Editing System; Finish Editing Circuit	시스템 편집 완료; 회로 편집 완료
ID_RBS_FINISH_ZONE_EDIT_MODE	Finish Editing Zone	구역 편집 완료
ID_RBS_HIDE_ABL_SEPARATION_LINE_OPEN_END	Area Based Load Boundary:Hide Boundary Open-Ends	영역 부하 경계:경계 개방 끝 숨기기
ID_RBS_LAYOUTPATH	Generate Layout	배치 생성
ID_RBS_LAYOUTPATH1LINE_PATH	Generate Placeholder	자리 표시자 생성
ID_RBS_LAYOUTPATH_ADD	Add to System	시스템에 추가
ID_RBS_LAYOUTPATH_BASE	Place Base	베이스 배치
ID_RBS_LAYOUTPATH_BASE_MODIFY	Modify Base	베이스 수정
ID_RBS_LAYOUTPATH_BASE_REMOVE	Remove Base	베이스 제거
ID_RBS_LAYOUTPATH_CANCEL	Cancel Layout	배치 취소
ID_RBS_LAYOUTPATH_EDIT	Edit Layout	배치 편집
ID_RBS_LAYOUTPATH_FINISH	Finish Layout	배치 완료
ID_RBS_LAYOUTPATH_REMOVE	Remove from System	시스템에서 제거
ID_RBS_LAYOUTPATH_SOLUTIONS	Solutions	솔루션
ID_RBS_LIGHTING_FIXTURE	Lighting Fixture	조명 설비
ID_RBS_MECHANICAL_ACCESSORY	Duct Accessory	덕트 액세서리
ID_RBS_MECHANICAL_COLOR_FILL	Duct Legend	덕트 범례
ID_RBS_MECHANICAL_CONTROL_DEVICE	Mechanical Control Device	기계 제어 장치
ID_RBS_MECHANICAL_CONVERTTOFLEX	Convert to Flex Duct	플렉시블 덕트로 변환
ID_RBS_MECHANICAL_DIFFUSER	Air Terminal	공기 터미널
ID_RBS_MECHANICAL_DIFFUSER_TO_DUCT	Air Terminal on Duct	덕트의 공기 터미널
ID_RBS_MECHANICAL_DUCT	Duct	덕트
ID_RBS_MECHANICAL_EQUIPMENT	Mechanical Equipment	기계 장비
ID_RBS_MECHANICAL_FITTING	Duct Fitting	덕트 부속
ID_RBS_MECHANICAL_FLEX	Flex Duct	플렉시블 덕트
ID_RBS_MECHANICAL_SETTINGS	MEP Settings:Mechanical Settings	MEP 설정:기계 설정
ID_RBS_PANELSCHEDULE_EDIT	Edit Panel Schedule	패널 일람표 편집
ID_RBS_PANELSCHEDULE_FORMAT_TEMPLATE	Set Template Options	템플릿 옵션 설정
ID_RBS_PANELSCHEDULE_FREEZE_COLANDROW	Freeze Rows and Columns	행 및 열 동결
ID_RBS_PANELSCHEDULE_TEMPLATEVIEW_CANCEL	Cancel Template	템플릿 취소
ID_RBS_PANELSCHEDULE_TEMPLATEVIEW_FINISH	Finish Template	템플릿 완료
ID_RBS_PANEL_SCHEDULE_EDIT_A_TEMPLATE	Panel Schedule Templates:Edit a Template	패널 일람표 템플릿:템플릿 편집
ID_RBS_PANEL_SCHEDULE_MANAGE_TEMPLATES	Panel Schedule Templates:Manage Templates	패널 일람표 템플릿:템플릿 관리
ID_RBS_PICKALIGNMENT_LINE	Alignment Line	선형 선
ID_RBS_PIPE_ACCESSORY	Pipe Accessory	배관 밸브류
ID_RBS_PIPE_FITTING	Pipe Fitting	파이프 부속
ID_RBS_PIPE_FLEX	Flex Pipe	플랙시블 파이프
ID_RBS_PIPE_PIPE	Pipe	파이프
ID_RBS_PIPING_COLOR_FILL	Pipe Legend	배관 범례
ID_RBS_PLUMBING_EQUIPMENT	Plumbing Equipment	위생 장비
ID_RBS_PLUMBING_FIXTURE	Plumbing Fixture	위생기구
ID_RBS_ROUTEPATH_EDIT	Routing Solutions	라우팅 솔루션
ID_RBS_ROUTEPATH_JUSTIFY	Justify	자리맞추기
ID_RBS_ROUTEPATH_SLOPE	Slope	경사
ID_RBS_SHOW_ABL_SEPARATION_LINE_OPEN_END	Area Based Load Boundary:Show Boundary Open-Ends	영역 부하 경계:경계 개방 끝 표시
ID_RBS_SHOW_DOWNSTREAM_CONNECTED_PHASES	Downstream Connected Phases	다운스트림 연결 위상
ID_RBS_SPRINKLER	Sprinkler	스프링클러
ID_RBS_SWITCH_SYSTEM_EDIT_SWITCH_SELECT	Select Switch	스위치 선택
ID_RBS_SYSTEM_GROUP_EDIT_ADD_TO_GROUP	Add to System	시스템에 추가
ID_RBS_SYSTEM_GROUP_EDIT_BASE_OBJECT_SELECT	Select Equipment	장비 선택
ID_RBS_SYSTEM_GROUP_EDIT_REMOVE_FROM_GROUP	Remove from System	시스템에서 제거
ID_RBS_SYSTEM_INSPECTOR_CANCEL	Cancel	취소
ID_RBS_SYSTEM_INSPECTOR_FINISH	Finish	마감
ID_RBS_SYSTEM_INSPECTOR_INSPECT	System Inspector	시스템 조사기
ID_RBS_SYSTEM_NAVIGATOR	System Browser	시스템 탐색기
ID_RBS_TOGGLE_END_REFERENCE	Control Point; Slope Control Point	제어점; 경사 제어점
ID_RBS_VIEW_PANEL_SCHEDULE	Panel Schedules	분전반 일람표
ID_RBS_WIRE_CONVERSION_ARC	Arc Wire	호 와이어
ID_RBS_WIRE_CONVERSION_CHAMFERED	Chamfered Wire	모따기된 와이어
ID_RBS_ZONE_ADD_SPACE	Add Space	공간 추가
ID_RBS_ZONE_REMOVE_SPACE	Remove Space	공간 제거
ID_REAPPLY_TYPE	Reapply Type	유형 다시 적용
ID_REBAR_ABBREVIATION	Reinforcement Settings	철근 배근 설정
ID_REBAR_ADD_REMOVE_BARS	Show Removed Bars	제거된 철근 표시
ID_REBAR_CANCEL_EDIT_BARS	Cancel	취소
ID_REBAR_COUPLER	Structural Rebar Coupler; Insert Coupler	구조 보강 철근 커플러; 커플러 삽입
ID_REBAR_COUPLER_ONE	One bar Coupler	하나의 막대 커플러
ID_REBAR_COUPLER_TWO	Two Bars Coupler	두 개의 막대 커플러
ID_REBAR_COVER_SETTINGS	Rebar Cover Settings	보강 철근 피복 설정
ID_REBAR_EDIT_BARS	Edit Bars	철근 편집
ID_REBAR_FINISH_EDIT_BARS	Finish	마감
ID_REBAR_FREE_FORM_CANCEL	Cancel	취소
ID_REBAR_FREE_FORM_END_FACES	End Surface	끝 표면
ID_REBAR_FREE_FORM_FINISH	Finish	마감
ID_REBAR_FREE_FORM_MORPHED	Free Form	프리폼
ID_REBAR_FREE_FORM_REINF_FACES	Host Surface	호스트 표면
ID_REBAR_FREE_FORM_START_FACES	Start Surface	시작 표면
ID_REBAR_FREE_FORM_SURF_DISTRIB	Surface	표면
ID_REBAR_FREE_FORM_TRANSVERSAL_DISTRIB	Aligned	정렬
ID_REBAR_MODIFY_SET	Modify Bars	철근 수정
ID_REBAR_PLACE	Structural Rebar	구조 보강 철근
ID_REBAR_PLACE_EXPAND_TO_HOST	Expand Rebar to Host	보강 철근을 호스트로 확장
ID_REBAR_PLACE_TWO_POINTS	Place Rebar by Two Points	두 점으로 보강 철근 배치
ID_REBAR_PRESENTATION_ALL	Show all Rebars in Rebar Set	보강 철근 세트의 모든 보강 철근 표시
ID_REBAR_PRESENTATION_FIRSTLAST	Show First and Last Rebar in Rebar Set	보강 철근 세트의 첫 번째 및 마지막 보강 철근 표시
ID_REBAR_PRESENTATION_MIDDLE	Show Middle Rebar in Rebar Set	보강 철근 세트의 중간 보강 철근 표시
ID_REBAR_PRESENTATION_SELECT	Select Rebars in Rebar Set to Show	보강 철근 세트에서 표시할 보강 철근 선택
ID_REBAR_REMOVE_BARS	Remove Bar	철근 제거
ID_REBAR_REMOVE_SPLICE	Remove Splice	이음 제거
ID_REBAR_RESET_ALL_BARS	Reset All	모두 재설정
ID_REBAR_RESET_BARS	Reset Position	위치 재설정
ID_REBAR_SELECT_HIDE_ALL_BARS	Select None	선택 안 함
ID_REBAR_SELECT_SHOW_ALL_BARS	Select All	모두 선택
ID_REBAR_SHAPE_ALLOWABLE_BAR_TYPES	Allowable Bar Types	허용되는 철근 유형
ID_REBAR_SKETCH	Sketch	스케치
ID_REBAR_SPLICE	Splice Rebar	보강 철근 이음
ID_REBAR_SPLICE_BY_POINT	Pick Line	선 선택
ID_REBAR_SPLICE_BY_RULES	Splice By Length	길이별 이음
ID_REBAR_SYSTEM_PICK_DIRSPAN_EDGE	Major Direction	주근 방향
ID_REBAR_SYSTEM_SKETCH	Structural Area Reinforcement	구조 면적 철근 배근
ID_REBAR_SYSTEM_SKETCH_HOST	Area Reinforcement	구역 철근 배근
ID_RECENTER_REFERENCE_LINE	Room:Re-center Reference; Room Tag:Re-center Reference	룸:참조 중심 재설정;룸 태그:참조 중심 재설정
ID_RECENTER_SELECTED_REFERENCE_LINE	Re-center Reference	참조 중심 재설정
ID_RECONCILE_CURRENT	Coordination Review:Use Current Project	좌표 검토:현재 프로젝트 사용
ID_RECONCILE_CURRENT_LINK	Coordination Review	좌표 검토
ID_RECONCILE_LINK	Coordination Review:Select Link	좌표 검토:링크 선택
ID_RELINQUISH_ALL_MINE	Relinquish All Mine	내 작업 세트 모두 취소
ID_RELOCATE_SHARED_COORDINATES	Position:Relocate Project	위치:프로젝트 재배치
ID_REMOVE_ALL_LEVEL_LANDINGS	Remove Landings	계단참 제거
ID_REMOVE_AREA_REINFORCEMENT_SYSTEM	Remove Area Reinforcement System	면적 철근 배근 시스템 제거
ID_REMOVE_CONNECTED_LEVELS_FROM_MULTISTORY_STAIRS	Disconnect Levels	레벨 연결 해제
ID_REMOVE_ELEMENT_FROM_ASSEMBLY	Remove from Assembly	조합에서 제거
ID_REMOVE_ELEMENT_FROM_DIVISION	Remove	제거
ID_REMOVE_FABRIC_REINFORCEMENT_SYSTEM	Remove Fabric Area Reinforcement System	선조립 영역 철근 배근 시스템 제거
ID_REMOVE_HYDRAULIC_SEPARATION	Remove Separation	분리 제거
ID_REMOVE_LIGHT_FROM_GROUP	Remove from Group	그룹에서 제거
ID_REMOVE_PATH_REINFORCEMENT_SYSTEM	Remove Path Reinforcement System	경로 철근 배근 시스템 제거
ID_REMOVE_SKETCH_CROP_AREA	Reset Crop	자르기 재설정
ID_REMOVE_SLAB_EDIT	Reset Shape	모양 재설정
ID_REMOVE_WATCH	Stop Monitoring	감시 중지
ID_REPAIR_CENTRAL_MODEL	Repair Central Model	중앙 모델 복구
ID_REPEAT_COMPONENT	Repeat; Repeat Component	반복; 구성요소 반복
ID_REPEAT_LASTCOMMAND	Repeat Last Command	마지막 명령 반복
ID_REPORT_SHARED_COORDINATES	Coordinates:Report Shared Coordinates	좌표:공유 좌표 보고
ID_REPOSITION_LINK_BASEPOINT_TO_HOST	Reposition to Project Base Point	프로젝트 기준점으로 재배치
ID_REPOSITION_LINK_ORIGIN_TO_HOST	Reposition to Internal Origin	내부 원점으로 재배치
ID_RESET_CONTINUOUS_RAIL	Reset Rail	난간 재설정
ID_RESET_JOIST_SYSTEM	Reset Beam System	보 시스템 재설정
ID_RESET_RAILING	Reset Railing	난간 재설정
ID_RESET_SHARED_COORDINATES	Coordinates:Reset Shared Coordinates	좌표:공유 좌표 재설정
ID_RESET_TARGET	Reset Target	대상 재설정
ID_RESET_TRUSS	Reset Truss	트러스 재설정
ID_RESTORE_ALL_EXCLUDED	Restore All Excluded	제외된 모든 항목 복원
ID_RESTORE_IMAGE_SIZE	Restore Size	크기 복원
ID_RESTORE_PART	Restore Parts	부품 복원
ID_RESTORE_VIEW_PROPERTIES	Restore Temporary View Properties	임시 뷰 특성 복원
ID_RETRIEVE_FILTERS	Load Selection	선택 로드
ID_REVIEW_WARNINGS	Review Warnings	경고 검토
ID_REVIT_FILE_CLOSE	Close	닫기
ID_REVIT_FILE_OPEN	Open; Revit file	열기; Revit 파일
ID_REVIT_FILE_PRINT	Print	인쇄
ID_REVIT_FILE_PRINT_PREVIEW	Print Preview	인쇄 미리보기
ID_REVIT_FILE_PRINT_SETUP	Print Setup	인쇄 설정
ID_REVIT_FILE_SAVE	Save	저장
ID_REVIT_FILE_SAVE_AS	Project	프로젝트
ID_REVIT_FILE_SAVE_AS_CLOUD_MODEL	Cloud Model	클라우드 모델
ID_REVIT_SAVE_AS_FAMILY	Family	패밀리
ID_REVIT_SAVE_AS_TEMPLATE	Template	템플릿
ID_RM_ANIMATION	Walkthrough	보행 시선
ID_RM_ASSEMBLY_EDITOR	Edit Assembly	조합 편집
ID_RM_CREATE_DECAL	Decal; Place Decal	그림; 그림 배치
ID_ROOF_EXTRUSION	Roof:Roof by Extrusion	지붕:돌출로 지붕 만들기
ID_ROOF_FOOTPRINT	Roof; Roof by Footprint	지붕; 외곽설정으로 지붕 만들기
ID_ROOF_PICK_FACES	Roof:Roof by Face	지붕:면으로 지붕 만들기
ID_ROOM_AREA_REPORT	Room/Area Report	룸/영역 보고서
ID_ROOM_SCHEDULE_FILTER_HIDE	Hide	숨기기
ID_ROOM_SCHEDULE_FILTER_ISOLATE	Isolate	분리
ID_ROOM_SCHEDULE_FILTER_SHOW	Show	표시
ID_ROTATE_PROJECT	Position:Rotate Project North	위치:도북 회전
ID_ROTATE_SHARED_COORDINATES	Position:Rotate True North	위치:진북 회전
ID_RUN	Run	실행
ID_RUN_ARC_CENTER_ENDS	StairRun:Center-Ends Arc	계단진행:중간-끝 호
ID_RUN_LINE	StairRun:Line	계단진행:선
ID_RUN_SYSTEMS_ANALYSIS	Systems Analysis	시스템 해석
ID_RVTDOC_LINK	Link Revit	Revit 링크
ID_SAMPLES_OPEN	Sample Files	샘플 파일
ID_SAVED_VIEW_POSITION	Saved Position	저장된 위치
ID_SAVE_FAMILY_ANY	Family	패밀리
ID_SAVE_GROUP	Group	그룹
ID_SAVE_VIEWS_TO_FILE	View	뷰
ID_SCHEDULE_CELL_EDIT_BORDER	Borders	경계
ID_SCHEDULE_CELL_EDIT_SHADING	Shading	음영
ID_SCHEDULE_CELL_INSERT_GRAPHIC	Insert Image	이미지 삽입
ID_SCHEDULE_CELL_MERGE_UNMERGE	Merge	병합
ID_SCHEDULE_CLEAR_CELL	Clear Cell	셀 지우기
ID_SCHEDULE_COLUMN_DELETE	Delete	삭제
ID_SCHEDULE_COLUMN_INSERT_RIGHT	Insert	삽입
ID_SCHEDULE_COLUMN_RESIZE	Resize	크기 조정
ID_SCHEDULE_EXPLAIN_ERROR	Explain	설명
ID_SCHEDULE_HEADER_FREEZE	Freeze Header	헤더 고정
ID_SCHEDULE_PARAM_CALCULATE	Calculated	계산됨
ID_SCHEDULE_PARAM_COMBINE	Combine Parameters	매개변수 결합
ID_SCHEDULE_PARAM_FORMATUNITS	Format Unit	단위 형식
ID_SCHEDULE_RESET_OVERRIDE	Reset	재설정
ID_SCHEDULE_ROW_INSERT_ABOVE	Insert:Above Selected	삽입:선택한 행 위
ID_SCHEDULE_ROW_INSERT_BELOW	Insert:Below Selected	삽입:선택한 행 아래
ID_SCHEDULE_ROW_RESIZE	Resize	크기 조정
ID_SCHEDULE_SPLIT_BY_HEIGHT	Split & Place	분할 및 배치
ID_SCHEDULE_TEXT_EDIT_FONT	Font	글꼴
ID_SCHEDULE_TEXT_HORIZONTAL_ALIGN_CENTER	Align Horizontal:Center	수평 정렬:중심
ID_SCHEDULE_TEXT_HORIZONTAL_ALIGN_LEFT	Align Horizontal:Left	수평 정렬:왼쪽
ID_SCHEDULE_TEXT_HORIZONTAL_ALIGN_RIGHT	Align Horizontal:Right	수평 정렬:오른쪽
ID_SCHEDULE_TEXT_VERTICAL_ALIGN_BOTTOM	Align Vertical:Bottom	수직 정렬:맨 아래
ID_SCHEDULE_TEXT_VERTICAL_ALIGN_MIDDLE	Align Vertical:Middle	수직 정렬:중간
ID_SCHEDULE_TEXT_VERTICAL_ALIGN_TOP	Align Vertical:Top	수직 정렬:맨 위
ID_SCHEDULE_VIEW_ZOOM_IN	Schedule View Zoom In	일람표 뷰 확대
ID_SCHEDULE_VIEW_ZOOM_OUT	Schedule View Zoom Out	일람표 뷰 축소
ID_SCHEDULE_VIEW_ZOOM_RESTORE	Schedule View Zoom Restore	일람표 뷰 줌 복원
ID_SELECT_ALL_PASTED	Select All	모두 선택
ID_SELECT_BY_ID	Select by ID	ID별로 선택
ID_SELECT_HOST	Select Host	호스트 선택
ID_SELECT_IN_HOST_ALL_FABRIC	Select All Fabric in Host	호스트의 모든 선조립 선택
ID_SELECT_IN_HOST_ALL_REBAR	Select All Rebar in Host	호스트의 모든 보강 철근 선택
ID_SELECT_IN_HOST_ALL_REINFORCEMENT	Select All Reinforcement in Host	호스트의 모든 보강 철근 선택
ID_SELECT_VISIBLE_LEADERS	Select Leaders to Show	표시할 지시선 선택
ID_SEL_ALL_IN_PRJ	Select All Instances: In Entire Project	모든 인스턴스 선택: 전체 프로젝트에서
ID_SEL_ALL_IN_PRJ_IN_OPTION	Select All Instances in Active Option: In Entire Project	활성 옵션에서 모든 인스턴스 선택: 전체 프로젝트에서
ID_SEL_ALL_IN_VIEW	Select All Instances: Visible in View	모든 인스턴스 선택: 뷰에 나타남
ID_SEL_ALL_IN_VIEW_IN_OPTION	Select All Instances in Active Option: Visible in View	활성 옵션에서 모든 인스턴스 선택: 뷰에 나타남
ID_SEL_MULTI_CHECK	Select Multiple; Select Multiple	다중 선택; 다중 선택
ID_SETTINGS_ALIGNMENT_STATION_LABEL	Alignment Station Label Types	선형 측점 레이블 유형
ID_SETTINGS_ANALYSIS_DISPLAY_STYLES	Additional Settings:Analysis Display Styles	추가 설정:해석 화면표시 스타일
ID_SETTINGS_ANNOTATIONS_LEADERS	Arrowheads	화살촉
ID_SETTINGS_ASSEMBLY_CODE	Additional Settings:Assembly Code	추가 설정:조합 코드
ID_SETTINGS_COLORFILLSCHEMES	Color Schemes	색상 구성표
ID_SETTINGS_DECAL_TYPES	Decal:Decal Types; Decal Types	그림:그림 유형; 그림 유형
ID_SETTINGS_DIMENSIONS	Temporary Dimensions	임시 치수
ID_SETTINGS_DIMENSIONS_ANGULAR	Angular Dimension Types	각도 치수 유형
ID_SETTINGS_DIMENSIONS_DIAMETER	Diameter Dimension Types	지름 치수 유형
ID_SETTINGS_DIMENSIONS_LINEAR	Linear Dimension Types	선형 치수 유형
ID_SETTINGS_DIMENSIONS_RADIAL	Radial Dimension Types	반지름 치수 유형
ID_SETTINGS_EXPORT_SETUPS_DGN	Export Setups DGN	내보내기 설정 DGN
ID_SETTINGS_EXPORT_SETUPS_DWGDXF	Export Setups DWG/DXF	내보내기 설정 DWG/DXF
ID_SETTINGS_FILLPATTERNS	Additional Settings:Fill Patterns	추가 설정:채우기 패턴
ID_SETTINGS_FILTERS	Filters	필터
ID_SETTINGS_FORGE_PARAMETERS	Parameters Service	매개변수 서비스
ID_SETTINGS_GLOBAL_PARAMETERS	Global Parameters	전역 매개변수
ID_SETTINGS_HALFTONE	Additional Settings:Halftone / Underlay	추가 설정:중간색 / 언더레이
ID_SETTINGS_KEYNOTING	Keynoting Settings	키노트 설정
ID_SETTINGS_LINE_STYLES	Additional Settings:Line Styles	추가 설정:선 스타일
ID_SETTINGS_MATERIALS	Materials	재료
ID_SETTINGS_OBJECTSTYLES	Object Styles	객체 스타일
ID_SETTINGS_PARTITIONS	Worksets	작업 세트
ID_SETTINGS_PENS	Additional Settings:Line Weights	추가 설정:선 두께
ID_SETTINGS_PEN_FONTS	Additional Settings:Line Patterns	추가 설정:선 패턴
ID_SETTINGS_PHASES	Phases	상
ID_SETTINGS_PROJECT_INFORMATION	Project Information	프로젝트 정보
ID_SETTINGS_PROJECT_PARAMETERS	Project Parameters	프로젝트 매개변수
ID_SETTINGS_RENDERING_APPEARANCE	Additional Settings:Material Assets	추가 설정:재료 렌더링 모양 맵소스
ID_SETTINGS_REVISIONS	Sheet Issues/Revisions; Additional Settings:Sheet Issues/Revisions	시트 발행/수정기호; 추가 설정:시트 발행/수정기호
ID_SETTINGS_SNAPPING	Snaps	스냅
ID_SETTINGS_SNAPS_NOOVERRIDE	Turn Override Off	재지정 끄기
ID_SETTINGS_SPOT_COORDINATE	Spot Coordinate Types	지정점 좌표 유형
ID_SETTINGS_SPOT_ELEVATION	Spot Elevation Types	지정점 레벨 유형
ID_SETTINGS_SPOT_SLOPE	Spot Slope Types	지정점 경사 유형
ID_SETTINGS_SUNANDSHADOWSSETTINGS	Additional Settings:Sun Settings; Sun Settings	추가 설정:태양 설정; 태양 설정
ID_SETTINGS_TAGS	Loaded Tags And Symbols	로드된 태그 및 기호
ID_SETTINGS_UNITS	Project Units	프로젝트 단위
ID_SETTINGS_VIEWTEMPLATES	View Templates:Manage View Templates	뷰 템플릿:뷰 템플릿 관리
ID_SETTING_AREACALCULATIONS	Area and Volume Computations	면적 및 체적 계산
ID_SET_FOCAL_LENGTH	Increase/Decrease Focal Length	초점 길이 늘리기/줄이기
ID_SET_FRONT_TO_CURRENT_VIEW	Set Front to Current View	정면을 현재 뷰로 설정
ID_SET_RAILINGS_TYPE	Railing	난간
ID_SHAPE_STATUS	Shape Status	모양 상태
ID_SHARED_VIEWS	Shared Views	공유 뷰
ID_SHOWDISCONNECTS_BUTTON	Show Disconnects	연결 해제 표시
ID_SHOW_ALL_TAG_LEADERS	Show All Leaders	모든 지시선 표시
ID_SHOW_ARG_BAR	Accelerated Graphics Bar Visibility	가속 그래픽 막대 가시성
ID_SHOW_COMPASS	Show Compass	나침반 표시
ID_SHOW_MASS_NO_OVERRIDE	Show Mass by View Settings	뷰 설정별 매스 표시
ID_SHOW_MASS_STANDARD	Show Mass Form and Floors	매스 양식 및 바닥 표시
ID_SHOW_MASS_SURFACES	Show Mass Surface Types	매스 표면 유형 표시
ID_SHOW_MASS_ZONES	Show Mass Zones and Shades	매스 구역 및 음영 표시
ID_SHOW_ONE_LEADER	Show One Leader	지시선 하나 표시
ID_SHOW_PROPERTIES_PALETTE	Properties	특성
ID_SHOW_RELATED_DIMENSION	Show Related Dimensions	관련 치수 표시
ID_SHOW_RELATED_WARNINGS	Show Related Warnings	관련 경고 표시
ID_SHOW_VIEWCUBE	ViewCube	ViewCube
ID_SITE_BOOLEAN_PERTURBATION_UI	Topography Cut Void Stability	지형의 절단/결합 안정성
ID_SITE_COMPONENT	Site Component	대지 구성요소
ID_SITE_GRADE	Graded Region	단계별 영역
ID_SITE_LABEL_CONTOURS	Label Contours	등고선 레이블
ID_SITE_PARKING_COMPONENT	Parking Component	주차장 구성요소
ID_SITE_PROPERTYLINE	Property Line	대지 경계선
ID_SITE_TOPO_SOLID	Toposolid	지형 솔리드
ID_SITE_TOPO_SOLID_FROM_IMPORT	Toposolid:Create from Import	지형 솔리드:가져오기에서 작성
ID_SITE_TOPO_SOLID_FROM_IMPORT_INSTANCE	Create from CAD	CAD에서 작성
ID_SITE_TOPO_SOLID_FROM_SURFACE	Generate Toposolid	지형 솔리드 생성
